N,P,K,ph,soil_type
51,73,112,5.53,Sandy
11,81,186,6.07,Clay
38,5,151,3.87,Acidic
129,93,62,8.39,Alkaline
130,51,40,5.56,Loamy
112,8,32,8.98,Alkaline
100,14,200,4.43,Acidic
112,32,135,3.84,Acidic
80,125,105,6.39,Sandy
112,130,111,4.63,Acidic
1,138,93,9.12,Alkaline
129,144,173,3.56,Acidic
53,66,39,5.98,Sandy
86,71,97,9.06,Alkaline
128,78,109,5.81,Loamy
125,99,80,4.06,Acidic
129,40,88,5.32,Acidic
52,116,80,6.49,Sandy
67,135,54,4.61,Acidic
122,117,104,6.3,Loamy
37,114,162,8.52,Alkaline
23,118,76,8.74,Alkaline
68,71,119,3.8,Acidic
115,130,81,4.47,Acidic
97,90,125,5.15,Acidic
138,23,202,7.07,Clay
96,73,58,5.67,Loamy
123,14,75,8.56,Alkaline
69,145,89,7.8,Alkaline
92,132,106,4.1,Acidic
2,103,111,7.25,Sandy
89,36,183,4.18,Acidic
95,116,32,5.03,Acidic
51,28,196,4.57,Acidic
127,39,112,4.54,Acidic
38,87,25,7.2,Sandy
81,74,159,6.88,Clay
103,113,31,4.56,Acidic
128,103,81,9.44,Alkaline
10,37,54,6.03,Sandy
41,60,161,4.08,Acidic
98,16,171,4.22,Acidic
6,15,61,7.0,Sandy
89,74,123,9.37,Alkaline
111,144,169,6.93,Loamy
59,45,68,9.19,Alkaline
112,110,52,6.16,Loamy
1,7,154,6.12,Clay
128,7,162,6.5,Clay
47,88,160,7.68,Alkaline
139,111,155,5.71,Loamy
36,138,8,8.68,Alkaline
8,24,135,3.68,Acidic
98,143,65,6.14,Loamy
47,100,100,6.57,Sandy
130,128,8,7.14,Loamy
53,25,69,5.16,Acidic
119,118,144,6.06,Loamy
115,17,145,6.41,Clay
74,90,166,7.62,Alkaline
112,39,128,8.14,Alkaline
103,51,191,7.93,Alkaline
83,129,97,5.55,Sandy
111,114,205,9.5,Alkaline
98,41,35,8.59,Alkaline
92,25,75,5.06,Acidic
127,18,145,4.67,Acidic
109,95,186,5.38,Acidic
81,64,6,6.21,Sandy
53,128,165,8.6,Alkaline
67,27,54,8.17,Alkaline
32,115,139,8.61,Alkaline
20,128,150,5.13,Acidic
47,34,183,7.06,Clay
127,119,12,5.2,Acidic
135,94,59,4.15,Acidic
134,42,47,7.61,Alkaline
127,87,191,4.36,Acidic
32,31,34,7.51,Alkaline
114,108,63,7.39,Loamy
118,120,13,8.36,Alkaline
21,19,72,4.34,Acidic
37,7,171,8.2,Alkaline
108,14,85,9.5,Alkaline
50,124,143,8.61,Alkaline
7,132,127,8.01,Alkaline
26,15,134,7.47,Clay
26,137,27,6.03,Sandy
20,73,195,7.88,Alkaline
29,68,26,7.85,Alkaline
96,18,193,7.29,Clay
27,54,158,8.28,Alkaline
110,76,144,6.19,Loamy
60,73,164,4.23,Acidic
47,139,13,6.85,Sandy
3,131,201,5.09,Acidic
34,20,94,5.81,Sandy
48,82,203,3.6,Acidic
16,105,37,5.8,Sandy
45,60,156,8.35,Alkaline
116,109,93,6.76,Loamy
5,136,99,3.56,Acidic
98,52,73,6.32,Loamy
123,21,42,5.25,Acidic
36,115,143,6.37,Clay
23,74,164,5.93,Clay
92,84,68,9.09,Alkaline
45,97,76,3.75,Acidic
94,42,24,7.6,Alkaline
98,105,38,8.61,Alkaline
115,66,115,9.26,Alkaline
66,125,46,4.57,Acidic
127,52,140,6.69,Loamy
17,14,70,3.76,Acidic
24,40,25,6.5,Sandy
53,8,83,4.25,Acidic
57,48,74,8.53,Alkaline
66,60,9,4.18,Acidic
103,46,71,6.58,Sandy
23,118,175,6.63,Clay
113,145,20,9.33,Alkaline
31,25,103,7.43,Sandy
85,83,77,5.23,Acidic
126,73,39,4.94,Acidic
129,74,87,4.27,Acidic
16,71,175,8.04,Alkaline
103,52,114,7.64,Alkaline
136,40,43,7.16,Sandy
42,31,14,3.75,Acidic
38,76,152,8.08,Alkaline
25,105,5,7.35,Sandy
98,100,10,9.28,Alkaline
49,132,185,7.02,Clay
12,30,178,5.32,Acidic
59,70,70,5.79,Sandy
134,144,42,4.56,Acidic
56,26,165,7.84,Alkaline
35,21,71,7.75,Alkaline
19,11,104,4.7,Acidic
64,111,81,4.45,Acidic
7,72,39,3.96,Acidic
114,132,49,8.97,Alkaline
91,41,154,4.9,Acidic
97,42,72,5.56,Sandy
65,100,21,5.18,Acidic
31,143,9,5.98,Sandy
85,5,61,7.78,Alkaline
50,46,99,8.72,Alkaline
62,67,172,4.6,Acidic
124,85,34,7.62,Alkaline
57,12,174,5.62,Clay
57,31,11,9.38,Alkaline
85,56,128,5.29,Acidic
48,95,203,3.54,Acidic
69,90,95,6.59,Sandy
14,20,151,4.4,Acidic
53,70,173,3.77,Acidic
100,9,166,7.69,Alkaline
7,86,154,7.89,Alkaline
52,135,56,6.26,Sandy
59,122,10,7.56,Alkaline
107,85,113,6.73,Loamy
4,74,99,7.28,Sandy
102,119,157,7.08,Loamy
5,11,70,7.49,Sandy
108,54,14,4.7,Acidic
115,115,30,5.11,Acidic
93,51,137,6.14,Loamy
46,116,72,6.18,Sandy
98,47,102,8.15,Alkaline
54,95,75,5.7,Sandy
51,33,54,4.48,Acidic
12,132,21,5.01,Acidic
113,137,15,4.79,Acidic
123,100,57,7.89,Alkaline
105,121,54,6.32,Loamy
119,74,140,7.75,Alkaline
62,134,128,6.0,Clay
18,74,66,8.84,Alkaline
91,114,80,9.4,Alkaline
57,136,127,7.52,Alkaline
89,60,94,8.68,Alkaline
116,93,33,6.55,Loamy
61,141,106,9.11,Alkaline
22,135,105,8.49,Alkaline
126,104,114,9.45,Alkaline
136,133,176,7.24,Loamy
139,61,113,8.18,Alkaline
128,55,177,6.76,Loamy
57,116,33,5.05,Acidic
121,108,63,5.63,Loamy
0,131,147,8.86,Alkaline
33,59,74,3.84,Acidic
95,5,100,7.05,Sandy
125,94,48,5.73,Loamy
117,57,168,5.82,Loamy
47,77,88,8.81,Alkaline
88,112,125,8.62,Alkaline
116,12,61,7.09,Sandy
128,46,121,5.14,Acidic
15,29,68,6.35,Sandy
68,42,103,5.95,Sandy
21,89,42,5.62,Sandy
92,28,149,4.12,Acidic
75,64,31,6.76,Sandy
85,115,21,5.31,Acidic
28,70,67,7.46,Sandy
68,57,15,5.42,Acidic
46,110,68,6.09,Sandy
93,100,43,3.81,Acidic
84,43,134,9.46,Alkaline
38,46,119,6.55,Sandy
99,115,198,3.65,Acidic
32,108,186,6.75,Clay
100,81,161,8.72,Alkaline
22,12,49,8.14,Alkaline
9,30,92,7.71,Alkaline
68,144,84,4.34,Acidic
99,47,163,7.45,Clay
33,114,181,8.1,Alkaline
137,104,13,6.93,Loamy
95,67,159,8.86,Alkaline
0,53,188,5.16,Acidic
68,119,109,4.95,Acidic
3,141,129,8.72,Alkaline
15,69,82,7.25,Sandy
23,75,49,3.51,Acidic
79,11,175,5.62,Clay
1,84,112,8.65,Alkaline
127,71,154,3.66,Acidic
83,142,103,3.52,Acidic
139,105,165,5.19,Acidic
123,99,31,8.98,Alkaline
32,91,44,8.91,Alkaline
100,95,30,6.61,Loamy
11,107,87,6.82,Sandy
66,130,177,5.49,Acidic
64,117,177,4.96,Acidic
73,8,30,8.39,Alkaline
42,92,74,4.14,Acidic
43,7,71,6.42,Sandy
28,95,10,7.31,Sandy
140,7,32,4.12,Acidic
11,85,199,6.62,Clay
94,142,17,6.97,Loamy
45,98,67,7.95,Alkaline
129,130,17,4.91,Acidic
34,117,133,5.26,Acidic
80,104,44,6.92,Sandy
89,57,169,9.4,Alkaline
7,91,35,4.8,Acidic
92,93,21,9.42,Alkaline
89,58,141,7.79,Alkaline
114,24,113,8.46,Alkaline
104,117,68,4.04,Acidic
134,53,61,5.3,Acidic
57,139,145,3.85,Acidic
113,33,169,5.73,Clay
74,52,146,9.39,Alkaline
119,17,29,4.13,Acidic
20,7,126,6.87,Clay
137,6,82,3.54,Acidic
100,20,61,7.78,Alkaline
98,98,75,4.68,Acidic
35,106,92,4.28,Acidic
95,138,117,5.52,Loamy
36,49,104,8.13,Alkaline
11,75,174,4.14,Acidic
112,137,174,4.88,Acidic
12,60,51,3.55,Acidic
22,131,120,9.31,Alkaline
98,36,176,7.05,Clay
104,53,173,7.82,Alkaline
29,17,135,7.41,Clay
16,29,94,4.37,Acidic
112,64,115,7.07,Loamy
61,63,94,4.29,Acidic
83,62,133,5.91,Clay
111,24,143,6.91,Clay
85,137,139,6.85,Clay
140,61,16,4.21,Acidic
18,58,170,3.71,Acidic
99,116,186,8.29,Alkaline
139,90,199,7.86,Alkaline
75,41,110,3.99,Acidic
8,88,126,4.26,Acidic
27,52,57,8.86,Alkaline
127,122,164,8.11,Alkaline
51,52,104,9.48,Alkaline
82,116,177,5.02,Acidic
110,114,183,6.43,Loamy
116,10,41,4.92,Acidic
68,82,123,7.24,Clay
98,27,63,4.19,Acidic
139,130,58,4.26,Acidic
24,88,150,3.93,Acidic
122,17,5,7.66,Alkaline
52,51,153,6.46,Clay
56,48,32,7.21,Sandy
38,109,116,8.78,Alkaline
108,18,20,7.94,Alkaline
41,125,180,6.27,Clay
121,40,32,9.41,Alkaline
132,12,154,6.24,Clay
74,20,116,4.17,Acidic
75,95,133,9.46,Alkaline
8,124,120,3.64,Acidic
73,64,174,6.8,Clay
6,14,102,5.35,Acidic
140,35,74,6.52,Sandy
136,25,96,6.85,Sandy
26,85,7,4.94,Acidic
121,37,85,6.84,Sandy
4,35,48,8.04,Alkaline
28,40,159,5.1,Acidic
82,136,183,5.8,Clay
135,72,28,5.11,Acidic
108,94,152,8.42,Alkaline
64,136,164,7.85,Alkaline
85,13,103,8.73,Alkaline
70,34,145,4.52,Acidic
44,119,116,3.94,Acidic
131,49,175,4.22,Acidic
35,8,152,4.47,Acidic
69,73,127,6.7,Clay
18,27,116,9.33,Alkaline
107,20,134,5.64,Clay
90,26,72,9.25,Alkaline
89,76,95,3.73,Acidic
18,52,64,9.06,Alkaline
38,111,136,4.59,Acidic
125,137,128,8.97,Alkaline
140,11,100,3.84,Acidic
125,55,149,9.19,Alkaline
57,69,133,4.7,Acidic
60,13,37,5.32,Acidic
126,86,34,6.45,Loamy
104,49,9,5.78,Sandy
0,126,122,7.51,Alkaline
130,14,144,9.35,Alkaline
91,77,164,7.14,Loamy
112,52,42,7.83,Alkaline
55,91,21,4.03,Acidic
116,115,190,7.27,Loamy
133,20,113,6.22,Sandy
57,57,44,8.81,Alkaline
43,44,156,5.83,Clay
60,104,144,7.58,Alkaline
46,24,115,4.87,Acidic
79,73,132,5.06,Acidic
117,49,99,5.76,Sandy
19,10,151,5.32,Acidic
46,43,33,5.02,Acidic
48,106,184,3.8,Acidic
13,134,149,8.52,Alkaline
0,111,77,3.89,Acidic
116,43,25,8.82,Alkaline
53,122,64,4.25,Acidic
117,86,102,3.89,Acidic
2,58,79,6.88,Sandy
11,114,123,6.51,Clay
73,16,152,6.45,Clay
15,114,117,6.95,Sandy
101,42,185,5.22,Acidic
116,11,118,7.48,Sandy
7,82,107,6.51,Sandy
121,69,84,5.51,Loamy
91,106,67,8.46,Alkaline
89,105,61,7.87,Alkaline
135,48,33,5.86,Sandy
59,35,133,8.59,Alkaline
27,81,128,9.02,Alkaline
100,52,63,6.72,Loamy
40,86,196,4.79,Acidic
140,131,90,8.99,Alkaline
45,88,204,4.64,Acidic
34,14,75,3.79,Acidic
133,33,93,5.46,Acidic
81,52,102,7.86,Alkaline
114,120,48,9.04,Alkaline
46,17,180,7.32,Clay
9,51,120,9.21,Alkaline
55,107,79,4.05,Acidic
29,95,147,3.86,Acidic
108,57,167,7.13,Loamy
4,96,27,9.3,Alkaline
118,81,185,6.52,Loamy
32,48,49,3.81,Acidic
117,6,96,4.83,Acidic
64,105,17,4.97,Acidic
10,61,38,5.53,Sandy
84,61,170,3.76,Acidic
25,38,74,8.93,Alkaline
62,62,112,6.59,Sandy
85,39,200,7.53,Alkaline
58,79,137,3.9,Acidic
26,37,130,3.82,Acidic
97,119,172,7.02,Loamy
104,79,202,8.82,Alkaline
98,77,25,6.67,Loamy
128,82,160,8.77,Alkaline
54,13,135,8.37,Alkaline
5,52,27,3.96,Acidic
94,71,204,4.71,Acidic
132,123,23,7.45,Loamy
101,137,54,6.16,Loamy
2,123,190,5.24,Acidic
22,90,24,6.01,Sandy
52,110,120,6.17,Sandy
82,80,96,8.96,Alkaline
84,44,97,4.12,Acidic
77,23,204,5.18,Acidic
109,51,87,6.73,Loamy
0,69,57,7.69,Alkaline
50,34,127,7.28,Clay
3,130,89,9.15,Alkaline
112,70,86,8.27,Alkaline
31,9,13,6.84,Sandy
33,97,8,4.79,Acidic
91,101,173,6.21,Loamy
94,98,29,7.66,Alkaline
71,110,38,8.53,Alkaline
38,137,77,9.26,Alkaline
117,89,141,7.13,Loamy
2,62,86,6.66,Sandy
122,83,145,3.61,Acidic
49,12,141,3.93,Acidic
11,16,8,4.44,Acidic
53,98,166,3.83,Acidic
132,95,11,5.91,Loamy
56,37,19,5.52,Sandy
111,104,42,7.32,Loamy
46,19,95,6.71,Sandy
84,118,56,7.08,Sandy
65,133,85,6.33,Sandy
74,15,104,5.17,Acidic
102,59,11,9.22,Alkaline
37,6,111,4.02,Acidic
49,69,49,9.13,Alkaline
97,20,63,5.37,Acidic
81,110,126,6.58,Clay
29,34,25,4.15,Acidic
78,14,160,3.93,Acidic
90,66,7,6.08,Sandy
51,89,146,7.95,Alkaline
78,138,6,5.12,Acidic
29,71,33,6.87,Sandy
105,45,150,5.17,Acidic
50,22,41,5.83,Sandy
80,62,177,8.94,Alkaline
132,64,49,8.64,Alkaline
28,92,156,6.6,Clay
131,31,124,4.93,Acidic
137,72,50,4.66,Acidic
73,26,144,9.22,Alkaline
16,44,57,4.72,Acidic
83,113,49,8.35,Alkaline
68,78,36,5.71,Sandy
33,70,22,9.41,Alkaline
5,10,17,5.71,Sandy
52,116,136,5.61,Clay
125,22,27,7.32,Sandy
42,85,66,9.27,Alkaline
114,106,58,9.36,Alkaline
110,114,187,7.74,Alkaline
79,34,73,8.03,Alkaline
94,126,172,6.88,Loamy
117,66,18,8.03,Alkaline
7,142,102,8.66,Alkaline
131,124,32,6.42,Loamy
103,111,204,7.22,Loamy
131,145,99,6.72,Loamy
24,80,75,6.87,Sandy
95,13,71,8.84,Alkaline
92,43,161,5.63,Clay
60,28,104,4.75,Acidic
121,129,65,6.24,Loamy
50,122,107,4.75,Acidic
20,38,200,6.49,Clay
4,65,141,8.92,Alkaline
91,137,123,7.2,Loamy
60,83,21,8.63,Alkaline
21,54,53,4.5,Acidic
69,136,195,8.91,Alkaline
0,55,82,7.11,Sandy
132,56,50,3.69,Acidic
11,126,97,7.3,Sandy
89,12,125,9.21,Alkaline
45,117,17,3.98,Acidic
33,49,49,6.99,Sandy
77,92,185,8.99,Alkaline
44,32,21,3.56,Acidic
72,123,51,7.29,Sandy
25,111,66,6.35,Sandy
46,31,182,5.58,Clay
120,85,47,7.27,Loamy
55,105,72,3.82,Acidic
93,66,128,8.02,Alkaline
106,66,113,3.53,Acidic
62,30,204,5.34,Acidic
47,125,32,6.52,Sandy
60,28,177,5.76,Clay
80,43,173,5.34,Acidic
25,128,98,8.49,Alkaline
35,25,122,9.11,Alkaline
0,98,168,8.74,Alkaline
7,119,95,6.63,Sandy
112,125,88,8.8,Alkaline
98,17,37,9.03,Alkaline
46,135,29,5.96,Sandy
126,23,23,5.2,Acidic
55,85,179,4.09,Acidic
13,127,110,6.37,Sandy
27,72,37,9.18,Alkaline
77,23,71,6.87,Sandy
129,68,146,7.51,Alkaline
108,105,165,4.18,Acidic
13,70,46,4.36,Acidic
55,70,197,6.29,Clay
114,79,99,9.21,Alkaline
6,49,51,5.66,Sandy
2,91,39,8.76,Alkaline
110,71,121,4.22,Acidic
106,7,164,7.2,Clay
17,28,187,7.1,Clay
37,92,186,8.66,Alkaline
114,21,80,3.52,Acidic
14,44,183,4.64,Acidic
118,10,191,4.82,Acidic
27,123,204,9.2,Alkaline
38,124,146,4.42,Acidic
16,39,150,3.72,Acidic
85,117,132,6.71,Clay
125,33,59,6.67,Sandy
43,11,102,8.56,Alkaline
24,57,188,9.19,Alkaline
12,27,112,6.73,Sandy
24,101,53,9.08,Alkaline
67,140,192,7.85,Alkaline
137,80,117,5.09,Acidic
66,14,185,9.07,Alkaline
108,121,203,7.5,Loamy
110,28,138,5.98,Clay
110,43,74,7.58,Alkaline
33,70,90,5.91,Sandy
110,10,140,4.19,Acidic
7,25,147,7.81,Alkaline
112,77,158,8.44,Alkaline
82,78,43,7.87,Alkaline
41,40,135,4.87,Acidic
100,135,189,9.24,Alkaline
5,48,14,3.65,Acidic
25,95,7,5.5,Sandy
63,64,50,5.06,Acidic
58,97,154,3.79,Acidic
108,87,71,5.93,Loamy
120,87,197,7.24,Loamy
32,81,101,8.8,Alkaline
20,30,23,9.44,Alkaline
69,25,66,8.35,Alkaline
111,124,102,6.31,Loamy
3,134,61,7.84,Alkaline
93,112,99,8.56,Alkaline
74,31,111,6.29,Sandy
61,75,92,8.21,Alkaline
93,54,145,6.4,Loamy
94,99,148,5.82,Loamy
54,27,148,6.66,Clay
136,145,119,7.56,Alkaline
130,85,123,7.86,Alkaline
30,136,56,5.64,Sandy
39,24,45,6.93,Sandy
35,128,52,8.96,Alkaline
5,17,95,9.36,Alkaline
65,7,43,4.86,Acidic
74,135,17,4.66,Acidic
3,133,136,7.56,Alkaline
78,94,100,5.99,Sandy
133,39,113,3.65,Acidic
117,18,108,5.58,Sandy
112,145,102,8.34,Alkaline
93,54,47,8.28,Alkaline
61,82,92,6.47,Sandy
78,7,97,6.34,Sandy
135,44,178,6.98,Clay
25,55,130,4.82,Acidic
43,5,113,6.66,Sandy
132,108,51,3.57,Acidic
69,139,96,6.35,Sandy
117,121,185,5.52,Loamy
67,120,157,7.55,Alkaline
18,56,45,7.33,Sandy
19,124,7,5.79,Sandy
112,143,125,3.54,Acidic
139,90,81,5.01,Acidic
46,50,99,7.3,Sandy
0,80,17,3.93,Acidic
89,14,109,4.15,Acidic
63,65,22,7.38,Sandy
37,22,41,8.03,Alkaline
36,90,175,5.43,Acidic
125,141,166,6.44,Loamy
138,132,59,9.17,Alkaline
99,108,56,9.17,Alkaline
76,145,40,5.35,Acidic
2,105,186,8.36,Alkaline
133,10,191,7.06,Clay
9,89,118,9.35,Alkaline
4,55,56,6.37,Sandy
137,40,23,8.15,Alkaline
129,75,144,8.11,Alkaline
12,104,96,6.48,Sandy
129,29,143,8.27,Alkaline
83,143,52,5.07,Acidic
64,48,105,4.23,Acidic
62,18,103,6.05,Sandy
100,33,148,9.16,Alkaline
72,78,203,6.5,Clay
16,54,51,7.31,Sandy
8,9,71,7.24,Sandy
37,114,35,4.3,Acidic
93,126,80,5.84,Loamy
94,92,12,7.74,Alkaline
48,61,193,9.33,Alkaline
68,30,48,4.51,Acidic
61,10,182,5.96,Clay
77,64,39,4.07,Acidic
116,104,193,4.95,Acidic
119,16,187,5.76,Clay
136,79,198,6.74,Loamy
75,7,18,4.88,Acidic
34,67,114,4.87,Acidic
0,138,8,8.17,Alkaline
39,23,149,9.28,Alkaline
63,22,116,5.44,Acidic
59,84,73,7.63,Alkaline
63,77,156,5.05,Acidic
92,135,53,9.07,Alkaline
71,130,59,7.54,Alkaline
10,76,203,8.32,Alkaline
104,42,155,3.8,Acidic
13,72,85,7.09,Sandy
59,84,144,6.67,Clay
29,46,143,5.26,Acidic
34,68,119,5.07,Acidic
4,82,79,6.98,Sandy
82,131,102,7.74,Alkaline
122,109,131,3.7,Acidic
77,80,115,6.9,Sandy
61,136,105,4.52,Acidic
131,134,118,4.34,Acidic
88,126,33,7.24,Sandy
41,48,66,5.37,Acidic
88,106,57,6.15,Sandy
39,66,121,5.66,Clay
71,5,180,7.39,Clay
38,21,95,6.32,Sandy
103,20,110,9.28,Alkaline
13,13,90,5.61,Sandy
31,63,132,7.94,Alkaline
124,123,198,5.04,Acidic
96,141,104,6.55,Loamy
22,144,180,6.82,Clay
62,123,98,5.47,Acidic
52,45,191,6.33,Clay
103,70,203,5.18,Acidic
103,79,189,3.54,Acidic
38,15,80,4.79,Acidic
133,12,7,7.7,Alkaline
66,138,85,8.13,Alkaline
134,103,109,5.18,Acidic
41,76,36,5.95,Sandy
14,117,12,3.72,Acidic
110,111,91,4.92,Acidic
32,38,34,8.18,Alkaline
37,61,147,7.14,Clay
96,121,78,4.73,Acidic
32,124,187,5.04,Acidic
85,75,127,8.4,Alkaline
65,44,125,4.75,Acidic
9,107,42,5.5,Sandy
4,128,147,7.49,Clay
122,127,162,6.87,Loamy
73,104,178,6.27,Clay
96,141,196,8.9,Alkaline
117,62,158,4.82,Acidic
37,113,119,7.95,Alkaline
140,125,113,4.45,Acidic
46,96,82,7.19,Sandy
108,54,199,8.72,Alkaline
14,109,40,6.25,Sandy
135,121,94,7.85,Alkaline
4,31,163,8.42,Alkaline
46,36,44,4.32,Acidic
67,5,78,7.73,Alkaline
75,21,205,9.02,Alkaline
129,141,50,6.96,Loamy
94,88,111,4.62,Acidic
114,49,174,4.26,Acidic
35,70,150,5.06,Acidic
25,36,104,4.12,Acidic
42,49,168,6.58,Clay
26,13,182,3.92,Acidic
68,34,65,4.84,Acidic
10,88,172,6.14,Clay
73,64,7,6.34,Sandy
103,5,86,6.89,Sandy
37,9,11,7.73,Alkaline
133,67,35,3.78,Acidic
22,69,69,3.98,Acidic
46,82,99,3.87,Acidic
89,136,68,6.04,Sandy
45,118,81,3.75,Acidic
106,29,7,7.98,Alkaline
139,139,97,4.84,Acidic
140,145,39,9.14,Alkaline
103,47,19,6.42,Sandy
110,61,25,6.18,Loamy
103,76,66,8.18,Alkaline
59,31,87,7.78,Alkaline
99,132,160,7.14,Loamy
67,110,8,9.11,Alkaline
132,75,145,6.03,Loamy
119,71,183,8.35,Alkaline
36,94,180,5.78,Clay
71,8,171,8.53,Alkaline
126,110,71,5.06,Acidic
105,83,98,5.24,Acidic
91,100,62,7.57,Alkaline
30,97,134,4.78,Acidic
121,78,29,4.87,Acidic
136,130,15,5.33,Acidic
50,20,5,7.57,Alkaline
28,120,52,8.84,Alkaline
39,22,117,7.55,Alkaline
40,20,180,8.47,Alkaline
10,134,142,6.76,Clay
0,60,85,3.91,Acidic
45,83,34,4.1,Acidic
100,107,167,6.83,Loamy
89,32,118,5.47,Acidic
109,9,23,4.82,Acidic
56,110,114,6.3,Sandy
0,26,185,7.5,Clay
62,121,38,5.81,Sandy
54,104,36,8.32,Alkaline
114,17,80,7.93,Alkaline
52,69,130,7.91,Alkaline
136,90,138,9.41,Alkaline
56,68,145,5.27,Acidic
116,36,90,7.37,Sandy
34,84,79,8.63,Alkaline
62,55,196,6.98,Clay
24,83,139,8.24,Alkaline
89,110,49,5.99,Sandy
74,67,177,7.04,Clay
37,80,69,3.83,Acidic
129,64,98,9.41,Alkaline
134,69,23,8.3,Alkaline
90,121,123,8.71,Alkaline
16,85,51,7.67,Alkaline
127,109,50,4.62,Acidic
107,132,33,3.69,Acidic
24,75,104,8.69,Alkaline
87,90,193,5.88,Clay
28,144,69,5.08,Acidic
62,75,155,6.87,Clay
113,50,132,6.03,Clay
